"id","person_id","ceda_id","first_year","last_year","notes"
1,5,3,1844,1844,
2,7,3,1844,1844,
3,8,3,1858,1871,
4,12,3,1860,1871,
5,14,3,1843,1845,
6,16,3,1856,1860,
7,18,3,1864,1871,
8,22,3,1862,1871,
9,23,3,1844,1848,
10,28,3,1858,1858,
11,33,3,1862,1871,
12,38,3,1844,1847,
13,39,3,1850,1850,
14,40,3,1861,1868,
15,41,3,1852,1863,
16,42,3,1870,1871,
17,43,3,1854,1871,
18,45,3,1844,1851,
19,51,3,1865,1871,
20,54,3,1853,1870,
21,58,3,1867,1868,
22,60,3,1863,1871,
23,61,3,1866,1868,
24,66,3,1862,1863,
25,67,3,1861,1861,
27,73,3,1853,1869,
28,74,3,1862,1863,
29,80,3,1870,1871,
30,81,3,1869,1869,
31,82,3,1861,1871,
32,83,3,1865,1865,
33,84,3,1865,1871,
34,94,3,1861,1871,
35,95,3,1866,1871,
36,96,3,1858,1871,
37,98,3,1865,1871,
38,100,3,1846,1846,
39,108,3,1870,1871,
40,109,3,1844,1847,
41,118,3,1865,1871,
42,119,3,1869,1871,
43,123,3,1861,1861,
44,129,3,1870,1871,
45,132,3,1853,1869,
46,133,3,1853,1853,
47,136,3,1859,1863,
48,138,3,1856,1863,
50,144,3,1855,1856,
51,151,3,1852,1862,
52,152,3,1852,1855,
53,153,3,1844,1844,
54,154,3,1869,1871,
55,159,3,1844,1844,
56,169,3,1843,1844,
57,170,3,1850,1850,
58,177,3,1863,1867,
59,183,3,1869,1869,
60,188,3,1869,1869,
61,190,3,1866,1871,
62,192,3,1869,1869,
63,195,3,1866,1871,
64,205,3,1861,1871,
65,206,3,1860,1863,
66,207,3,1845,1845,
67,209,3,1862,1870,
68,210,3,1862,1871,
69,211,3,1870,1871,
70,212,3,1869,1871,
71,215,3,1861,1863,
72,220,3,1869,1871,
73,225,3,1844,1863,
74,226,3,1861,1868,
75,227,3,1861,1867,
76,230,3,1865,1865,
77,231,3,1850,1856,
78,232,3,1862,1871,
79,233,3,1846,1846,
80,235,3,1845,1845,
81,237,3,1844,1869,
82,239,3,1844,1850,
83,245,3,1844,1871,
84,246,3,1866,1871,
85,250,3,1844,1844,
86,252,3,1870,1871,
87,254,3,1846,1846,
88,260,3,1844,1857,
89,262,3,1850,1850,
90,264,3,1843,1851,
91,265,3,1845,1871,
92,266,3,1869,1871,
94,271,3,1844,1862,
95,278,3,1868,1871,
96,281,3,1844,1868,
97,288,3,1844,1844,
98,292,3,1861,1861,
99,296,3,1849,1849,
100,298,3,1863,1863,
101,300,3,1844,1844,
102,301,3,1843,1856,
103,304,3,1861,1863,
104,306,3,1853,1860,
105,313,3,1861,1864,
107,318,3,1863,1871,
108,327,3,1845,1847,
109,336,3,1861,1869,
110,337,3,1866,1871,
111,339,3,1866,1870,
112,340,3,1862,1863,
113,348,3,1870,1871,
114,350,3,1844,1871,
115,358,3,1866,1871,
116,361,3,1860,1860,
117,373,3,1864,1867,
118,375,3,1845,1848,
119,376,3,1852,1854,
120,379,3,1862,1871,
121,380,3,1869,1869,
122,387,3,1855,1871,
123,389,3,1860,1862,
124,393,3,1844,1871,
125,395,3,1844,1844,
126,399,3,1868,1871,
127,401,3,1844,1844,
128,403,3,1854,1865,
129,405,3,1862,1863,
130,408,3,1843,1848,
131,410,3,1844,1870,
132,411,3,1843,1843,
133,413,3,1867,1867,
134,414,3,1855,1855,
135,415,3,1862,1871,
136,417,3,1861,1871,
137,419,3,1861,1868,
138,424,3,1844,1848,
139,427,3,1844,1849,
140,428,3,1844,1844,
141,432,3,1844,1844,
142,436,3,1862,1866,
143,444,3,1860,1871,
144,446,3,1854,1871,
145,448,3,1844,1844,
146,454,3,1862,1871,
147,457,3,1867,1871,
148,459,3,1851,1855,
149,467,3,1861,1871,
150,471,3,1845,1871,
151,476,3,1844,1844,
152,492,3,1847,1868,
153,493,3,1861,1871,
154,496,3,1862,1868,
155,499,3,1860,1862,
156,500,3,1857,1871,
157,504,3,1862,1867,
158,507,3,1845,1857,
159,509,3,1844,1844,
160,510,3,1855,1871,
161,511,3,1869,1871,
162,512,3,1865,1868,
163,516,3,1860,1871,
164,518,3,1855,1871,
165,522,3,1856,1856,
166,523,3,1860,1863,
167,527,3,1858,1871,
168,529,3,1843,1865,
169,531,3,1868,1871,
170,534,3,1843,1851,
171,536,3,1861,1871,
172,537,3,1862,1863,
173,538,3,1860,1860,
175,553,3,1868,1871,
176,554,3,1869,1871,
177,557,3,1844,1844,
178,565,3,1869,1869,
179,567,3,1851,1862,
180,570,3,1862,1871,
181,571,3,1846,1852,
182,573,3,1865,1871,
183,574,3,1861,1869,
184,575,3,1862,1869,
185,576,3,1848,1848,
186,577,3,1866,1867,
187,581,3,1870,1871,
188,587,3,1856,1871,
189,591,3,1863,1869,
190,604,3,1844,1844,
191,611,3,1844,1863,
192,614,3,1844,1848,
193,615,3,1863,1868,
194,624,3,1870,1871,
195,626,3,1869,1869,
196,627,3,1843,1845,
197,628,3,1868,1871,
198,631,3,1844,1871,
199,632,3,1870,1871,
200,634,3,1843,1849,
201,636,3,1845,1850,
202,638,3,1862,1862,
203,640,3,1862,1871,
204,646,3,1870,1871,
205,649,3,1844,1857,
206,650,3,1857,1862,
207,651,3,1862,1863,
208,652,3,1855,1855,
209,655,3,1869,1871,
210,656,3,1849,1849,
211,658,3,1862,1862,
212,660,3,1844,1854,
213,661,3,1844,1859,
214,664,3,1843,1847,
215,666,3,1863,1871,
216,668,3,1861,1861,
217,670,3,1866,1871,
218,672,3,1861,1871,
219,679,3,1863,1871,
220,684,3,1870,1871,
221,688,3,1843,1847,
222,690,3,1846,1846,
223,698,3,1864,1871,
224,700,3,1854,1871,
225,704,3,1863,1867,
226,706,3,1870,1871,
227,707,3,1851,1863,
228,709,3,1868,1871,
229,711,3,1861,1863,
230,712,3,1847,1847,
231,713,3,1844,1852,
232,716,3,1869,1871,
233,718,3,1866,1869,
234,720,3,1869,1871,
235,724,3,1864,1868,
236,725,3,1844,1844,
237,730,3,1851,1871,
238,731,3,1851,1851,
239,732,3,1861,1871,
240,734,3,1863,1871,
241,738,3,1865,1871,
242,743,3,1853,1871,
243,744,3,1851,1852,
244,750,3,1866,1871,
245,753,3,1845,1845,
246,754,3,1861,1871,
247,755,3,1862,1871,
248,759,3,1869,1871,
249,761,3,1861,1871,
250,762,3,1846,1871,
251,765,3,1862,1863,
252,766,3,1862,1871,
253,769,3,1844,1846,
254,778,3,1862,1871,
255,780,3,1865,1871,
256,784,3,1852,1852,
257,785,3,1843,1856,
258,787,3,1845,1845,
259,790,3,1860,1862,
260,796,3,1844,1847,
