"id","person_id","club_id"
1,7,2
2,22,2
3,33,2
4,33,3
5,33,4
6,44,5
7,46,6
8,46,7
9,51,2
10,60,8
11,60,9
12,78,2
13,84,2
14,90,10
15,95,2
16,98,2
17,113,11
18,117,5
19,139,12
20,139,13
21,139,10
24,154,15
25,155,16
26,155,13
27,156,2
28,161,13
29,163,17
30,165,2
31,187,18
33,194,19
34,194,20
35,196,21
36,210,2
37,215,2
38,217,2
39,221,2
40,225,2
41,232,2
42,237,2
43,239,2
44,243,2
45,243,22
46,245,2
48,259,23
49,265,2
50,265,5
51,266,19
52,266,2
53,270,2
54,271,2
55,274,24
56,277,2
57,291,25
58,301,2
59,304,2
62,318,2
63,328,2
64,336,13
65,339,2
67,362,2
68,373,2
69,375,2
70,377,8
71,379,2
72,385,26
74,389,2
75,407,2
76,410,2
77,417,2
78,419,2
79,420,14
83,443,2
84,444,2
85,452,11
86,452,13
87,452,30
88,453,13
89,457,31
90,457,2
91,459,2
92,476,2
93,490,8
94,491,32
95,492,2
96,493,2
97,493,33
98,493,34
99,511,2
100,513,35
101,532,36
102,536,2
103,537,2
104,538,2
106,554,2
107,556,9
108,563,2
109,565,2
110,570,2
111,573,2
112,574,2
113,594,2
114,614,2
115,615,2
116,624,2
117,626,2
118,649,2
119,661,2
120,664,2
121,666,2
122,672,2
123,672,37
124,676,38
125,679,2
127,707,2
128,729,2
129,730,2
130,734,2
131,740,19
132,750,8
133,754,2
134,755,2
135,755,39
136,758,8
137,764,21
138,765,2
139,766,2
140,767,2
141,788,2
142,795,10
143,795,35
144,805,2
147,822,2
148,826,2
149,828,40
150,830,2
151,831,2
152,834,5
154,845,19
155,845,2
156,849,2
157,853,2
158,862,2
159,865,2
160,867,5
161,899,2
162,900,41
163,900,42
164,917,13
165,933,13
166,941,2
167,943,13
168,969,2
169,974,21
170,982,43
171,982,2
173,990,13
174,990,2
175,1000,2
176,1000,4
177,1008,2
178,1014,13
179,1017,2
181,1024,43
182,1024,2
183,1043,2
184,1049,45
185,1054,46
186,1055,2
187,1089,2
188,1089,47
189,1092,2
191,1139,48
192,1144,8
193,1152,49
194,1152,2
195,1153,2
196,1160,2
197,1166,2
198,1169,2
199,1173,2
200,1179,2
201,1185,2
202,1207,2
203,1211,2
204,1219,2
205,1225,2
206,1225,39
207,1235,43
208,1235,2
209,1245,2
210,1255,13
211,1266,2
213,1271,2
214,1272,50
215,1279,5
216,1279,2
217,1283,2
218,1285,15
219,1292,21
220,1296,2
221,1296,51
222,1296,52
223,1306,2
224,1314,2
225,1321,14
226,1336,2
227,1339,2
229,1350,2
230,1364,17
231,1377,50
232,1379,10
233,1380,15
234,1392,19
235,1393,35
236,1393,2
237,1399,53
238,1413,2
239,1414,2
240,1426,38
242,1439,2
243,1448,2
244,1452,2
245,1487,2
246,1491,2
249,1509,55
250,1510,14
251,1510,32
253,1518,2
254,1520,56
255,1521,2
256,1522,4
257,1524,2
258,1527,2
259,1530,47
260,1531,2
262,1542,57
264,1548,2
265,1548,5
266,1550,10
267,1565,58
268,1569,2
269,1583,2
271,1593,45
272,1593,2
274,1603,13
275,1603,15
276,1617,15
277,1627,59
278,1628,2
280,1647,2
281,1666,2
282,1666,51
283,1669,35
284,1673,2
285,1674,2
286,1677,5
287,1678,33
288,1679,35
289,1684,2
290,1686,50
291,1692,51
292,1697,2
293,1697,35
294,1704,2
295,1704,54
296,1704,60
297,1718,2
298,1735,2
299,1747,2
300,1758,48
301,1769,2
302,1775,2
303,1781,61
304,1782,2
305,1822,12
306,1827,60
307,1827,62
308,1827,2
309,1843,2
310,1850,2
312,1856,5
313,1873,2
314,1903,2
319,1919,43
320,1919,2
321,1931,2
322,1937,49
323,1958,10
324,1958,64
325,1958,65
326,1961,7
327,1963,2
328,1969,2
329,1982,13
330,1986,2
331,1992,2
332,1993,2
333,1997,66
334,2006,2
335,2012,5
336,2012,2
337,2012,67
338,2014,54
339,2015,2
340,2019,2
341,2038,2
342,2050,2
343,2069,2
344,2078,47
347,2086,69
348,2092,2
349,2097,13
350,2102,2
351,2113,32
352,2116,2
353,2129,2
354,2145,2
355,2157,13
356,2163,5
357,2196,2
358,2214,4
359,2223,2
360,2251,2
