"id","person_id","occupation_id"
1,1,1
2,3,3
3,3,4
4,5,5
5,8,3
7,12,7
8,12,8
9,12,9
10,13,7
11,14,10
12,15,3
13,16,3
14,16,7
15,17,3
16,18,11
17,19,3
19,22,13
20,23,5
21,26,1
22,27,14
23,28,4
25,33,5
26,33,15
27,34,16
28,35,3
29,36,3
30,36,4
31,37,17
32,37,18
33,37,19
34,37,20
35,41,11
36,41,5
37,42,21
38,43,6
39,45,22
40,45,23
41,46,11
42,48,16
43,51,16
44,51,21
45,53,3
46,54,6
47,54,1
48,56,1
49,56,24
50,57,16
51,58,5
52,60,11
53,61,16
54,62,25
55,64,3
58,73,22
60,78,7
61,78,27
62,78,18
63,80,6
64,80,16
65,81,6
66,81,7
67,82,7
68,82,28
69,84,16
70,84,1
71,87,29
72,91,28
73,91,10
74,92,3
75,93,3
76,94,5
77,95,28
78,95,29
79,98,4
80,98,5
82,100,6
83,101,3
84,102,4
87,106,4
88,107,16
89,108,30
90,109,4
93,111,3
94,112,16
95,114,21
96,114,5
97,114,4
98,115,3
99,117,3
100,118,3
101,119,7
102,119,19
105,123,18
106,123,32
107,124,26
108,124,14
109,126,3
110,127,16
111,130,6
112,130,4
113,132,3
114,133,3
116,136,3
117,140,4
120,144,4
121,145,3
129,150,4
130,151,5
131,152,10
132,154,3
133,154,16
134,154,23
135,155,1
136,156,4
137,156,3
138,157,16
139,160,16
140,161,7
143,165,16
144,167,36
145,168,11
146,169,16
147,171,16
148,172,3
149,173,4
151,176,11
152,178,3
153,180,3
154,187,10
155,190,11
156,190,19
160,194,4
161,195,3
162,197,11
163,198,11
164,199,3
165,201,3
167,203,7
168,204,4
169,204,3
170,205,39
171,206,21
172,209,1
173,209,36
174,209,33
175,209,40
176,210,21
177,210,7
178,210,5
179,211,3
180,211,19
181,212,10
182,213,3
183,215,21
184,215,29
185,216,11
186,217,6
187,218,38
188,218,34
189,218,3
190,219,16
191,220,17
192,220,1
193,223,21
194,223,5
195,224,6
196,224,7
197,225,5
198,226,7
199,227,3
200,229,1
201,229,41
202,229,42
203,229,18
204,230,6
205,231,3
206,231,22
207,232,1
209,236,7
210,237,29
211,237,5
212,238,6
213,239,10
214,239,19
215,241,6
216,242,11
217,243,11
218,243,43
219,244,44
220,245,1
221,246,11
222,246,29
225,249,7
226,249,4
227,251,3
228,252,14
229,252,19
230,252,16
231,254,6
232,255,3
233,257,16
234,258,43
235,259,11
236,265,4
237,265,1
238,266,4
239,267,16
240,267,5
243,270,3
244,271,21
245,271,3
246,272,3
248,274,6
249,275,4
250,277,12
251,278,5
252,281,21
253,281,5
254,282,3
255,284,16
256,286,16
257,289,45
258,290,4
259,292,6
260,293,6
261,295,7
262,295,3
263,297,43
264,298,5
265,299,46
266,299,3
267,300,1
268,301,7
269,301,6
270,302,7
271,303,16
272,304,5
273,305,16
274,306,13
275,306,7
276,308,3
277,310,21
278,310,34
279,310,9
280,313,20
281,314,34
282,314,47
283,314,27
284,314,48
288,317,49
289,318,34
290,318,3
291,318,35
292,319,3
293,319,4
294,322,16
295,322,5
296,323,3
297,324,43
299,327,7
300,327,31
301,327,51
302,328,5
303,328,11
305,330,6
306,331,3
307,331,4
308,333,3
309,333,7
310,334,43
311,335,3
312,336,13
313,336,4
314,337,3
315,338,3
316,339,29
317,339,5
318,339,11
319,343,3
320,343,4
322,346,16
323,346,28
324,348,4
325,349,16
326,350,3
327,352,3
328,353,5
329,355,4
330,356,3
333,362,7
334,362,3
335,363,22
336,363,16
337,364,7
338,364,10
339,364,3
340,365,16
341,367,21
342,367,28
343,367,53
344,368,7
345,369,11
346,370,10
348,372,3
349,373,5
350,373,43
351,373,21
352,374,16
353,375,5
354,379,11
355,382,3
356,383,3
357,384,6
358,385,35
359,387,16
361,389,13
362,394,7
363,397,3
364,397,7
365,398,3
366,399,21
367,399,4
369,401,3
371,403,16
372,403,30
373,405,16
374,406,6
375,407,21
376,407,13
377,408,7
378,409,3
379,410,3
380,410,21
381,413,16
382,414,6
383,414,7
384,415,3
385,415,29
386,416,16
387,417,21
388,419,21
389,419,5
390,422,7
391,422,3
392,423,3
393,423,5
394,424,3
395,425,4
396,426,6
400,430,3
402,434,3
403,435,26
404,437,3
405,440,43
406,440,22
407,440,19
408,442,3
409,443,10
410,444,21
411,444,5
412,445,3
413,445,4
414,446,11
416,449,7
417,449,10
418,452,1
420,457,21
421,457,11
422,457,5
423,458,6
424,459,3
425,460,6
426,460,42
427,460,1
428,462,22
429,463,6
430,463,7
431,464,21
432,464,11
433,466,3
434,466,7
435,467,3
436,470,3
437,471,6
438,472,16
439,473,16
440,474,16
441,474,6
442,476,1
443,476,11
444,477,16
445,480,5
446,481,13
447,482,11
448,482,16
449,482,5
450,483,16
451,484,11
452,485,3
453,488,3
454,491,4
455,492,3
456,492,29
457,492,13
458,493,13
459,493,1
460,493,54
461,496,6
462,498,3
463,499,3
464,499,22
465,500,32
466,500,24
467,501,6
468,502,3
469,504,22
470,504,16
471,506,7
472,507,6
473,509,7
474,509,19
475,510,31
476,511,4
477,511,7
478,512,11
479,512,16
480,513,4
481,515,16
482,518,7
483,518,55
484,518,33
485,519,7
486,521,42
487,521,40
488,521,20
489,521,17
490,523,21
491,523,16
492,524,3
493,525,3
494,525,37
496,527,3
497,529,3
498,529,4
500,531,11
501,531,56
502,533,7
503,533,34
504,535,3
505,535,10
506,536,53
507,536,9
508,537,3
509,538,7
510,538,57
511,540,21
512,541,3
513,545,3
514,546,3
515,547,11
516,547,16
522,553,16
523,554,7
524,554,9
525,555,6
526,560,11
527,560,13
528,560,7
529,561,3
531,563,5
532,563,11
533,565,29
534,566,5
535,566,21
536,566,29
537,567,11
538,568,9
539,568,18
540,570,21
541,570,5
542,571,3
543,571,23
544,571,58
545,574,16
