"id","relationship_type_id","person1_id","person2_id"
1,1,23,2346
2,1,2264,2346
3,1,2265,2547
4,1,2545,2547
5,1,2546,2547
9,1,2547,2610
10,1,2548,2557
11,1,2548,2599
12,1,2548,2866
13,1,2270,2565
14,1,2271,2565
15,1,2271,2301
16,1,2271,2640
17,1,2271,2764
18,1,2271,2770
19,1,2271,2863
20,1,2271,2505
21,1,2271,2875
23,1,2552,2555
24,1,2552,2579
25,1,2552,2771
28,1,2273,2705
29,1,2273,2747
30,1,2273,2748
31,1,2273,2816
32,1,2273,2849
33,1,2273,2850
37,1,2553,2607
39,1,2553,2675
42,1,2553,2679
43,1,2553,2680
47,1,2553,2721
48,1,2553,2722
51,1,2277,2569
52,1,2277,2608
53,1,2277,2771
54,1,2277,2494
57,1,2554,2557
59,1,2554,2607
61,1,2554,2633
62,1,2554,2659
65,1,2554,2675
66,1,2554,2677
69,1,2554,2679
70,1,2554,2680
72,1,2554,2721
73,1,2554,2722
74,1,2554,2765
75,1,2554,2766
76,1,2554,2767
77,1,2554,2771
80,1,2554,2794
83,1,80,2264
84,1,80,2557
85,1,80,249
86,1,80,2592
87,1,80,2300
88,1,80,2340
89,1,80,731
90,1,80,2659
91,1,80,2351
92,1,80,2399
93,1,80,2762
94,1,80,2763
95,1,80,2764
96,1,80,2765
97,1,80,2766
98,1,80,2767
99,1,80,2768
100,1,80,2769
101,1,80,2770
102,1,80,2771
103,1,80,2427
104,1,80,2793
105,1,80,2794
106,1,80,2796
107,1,80,2797
108,1,80,2459
109,1,80,2460
110,1,80,2503
111,1,80,2876
116,1,2555,2557
117,1,2555,2587
119,1,2555,2659
121,1,2555,2762
122,1,2555,2763
123,1,2555,2764
124,1,2555,2765
125,1,2555,2766
126,1,2555,2767
127,1,2555,2768
128,1,2555,2769
129,1,2555,2770
130,1,2555,2771
133,1,2555,2793
134,1,2555,2794
137,1,2555,2874
138,1,81,2554
140,1,81,2555
141,1,81,2558
142,1,81,2563
143,1,81,523
144,1,81,2686
145,1,81,2699
146,1,81,2399
147,1,81,2427
148,1,81,2433
149,1,81,2854
155,1,2557,2587
157,1,2557,2662
159,1,2557,2699
162,1,2557,2874
167,1,2558,2563
168,1,2558,2587
169,1,2558,2633
172,1,2558,2659
174,1,2558,2719
175,1,2558,2720
176,1,2558,2762
177,1,2558,2763
178,1,2558,2764
179,1,2558,2765
180,1,2558,2766
181,1,2558,2767
182,1,2558,2768
183,1,2558,2769
184,1,2558,2770
186,1,2558,2771
188,1,2558,2785
190,1,2558,2793
191,1,2558,2794
193,1,2280,2557
194,1,2559,2781
196,1,2561,2683
198,1,2562,2785
199,1,2518,2579
201,1,2518,2607
203,1,2518,2662
207,1,2518,2680
208,1,2518,2685
209,1,2518,2686
210,1,2518,2687
214,1,2518,2721
215,1,2518,2722
218,1,2563,2587
219,1,2563,2633
222,1,2563,2659
224,1,2563,2686
225,1,2563,2719
226,1,2563,2720
228,1,2563,2763
229,1,2563,2764
230,1,2563,2765
231,1,2563,2766
232,1,2563,2767
233,1,2563,2768
234,1,2563,2769
235,1,2563,2770
236,1,2563,2771
238,1,2563,2785
239,1,2563,2794
241,1,2563,2854
242,1,2563,2874
251,1,2565,2675
253,1,2565,2679
254,1,2565,2680
256,1,2565,2721
257,1,2565,2722
258,1,2285,2580
259,1,2285,2595
261,1,2285,2607
262,1,2285,2309
263,1,2285,2662
264,1,2285,2344
265,1,2285,2346
266,1,2285,2514
268,1,2285,2679
269,1,2285,2680
270,1,2285,2685
271,1,2285,2686
272,1,2285,2687
273,1,2285,2371
274,1,2285,2372
275,1,2285,2380
276,1,2285,2721
277,1,2285,2722
279,1,2574,2765
283,1,2575,2594
284,1,2575,2631
285,1,2575,2632
286,1,2575,2643
287,1,2575,2646
288,1,2575,2656
290,1,2575,2657
292,1,2575,2658
295,1,2575,2677
297,1,2575,2724
298,1,2575,2729
299,1,2575,2732
300,1,2575,2762
301,1,2575,2763
302,1,2575,2764
303,1,2575,2765
304,1,2575,2766
305,1,2575,2768
306,1,2575,2769
307,1,2575,2829
312,1,2578,2683
314,1,2578,2761
315,1,2289,2607
316,1,2289,2309
317,1,2289,2677
318,1,2289,2679
319,1,2289,2680
320,1,2289,2371
321,1,2289,2378
322,1,2290,2607
323,1,2290,2309
324,1,2290,2677
325,1,2290,2679
326,1,2290,2680
327,1,2290,2371
328,1,2290,2372
329,1,2291,2607
330,1,2291,2309
331,1,2291,2677
332,1,2291,2679
333,1,2291,2680
334,1,2291,2371
335,1,2291,2372
336,1,2523,2607
338,1,2523,2677
339,1,2523,2679
340,1,2523,2680
345,1,2579,2580
346,1,2579,2620
349,1,2579,2658
351,1,2579,2659
352,1,2579,2660
353,1,2579,2661
354,1,2579,2662
357,1,2579,2718
359,1,2579,2769
361,1,2579,2846
362,1,2579,2849
367,1,2580,2607
369,1,2580,2662
372,1,2580,2677
374,1,2580,2679
375,1,2580,2680
376,1,2580,2685
377,1,2580,2686
378,1,2580,2687
382,1,2580,2718
383,1,2580,2721
384,1,2580,2722
387,1,2294,2631
388,1,2294,2632
389,1,2294,2724
390,1,2582,2631
391,1,2582,2632
392,1,2582,2724
394,1,2583,2587
396,1,2583,2640
397,1,2583,2664
399,1,2583,2724
401,1,2583,2764
402,1,2583,2766
403,1,2295,2580
404,1,2295,2595
406,1,2295,2607
407,1,2295,2309
408,1,2295,2662
409,1,2295,2344
411,1,2295,2679
412,1,2295,2680
413,1,2295,2685
414,1,2295,2686
415,1,2295,2687
416,1,2295,2371
417,1,2295,2372
418,1,2295,2380
419,1,2295,2721
420,1,2295,2722
421,1,2296,2575
423,1,2296,2607
424,1,2296,2309
425,1,2296,2647
426,1,2296,2344
427,1,2296,2346
428,1,2296,2679
429,1,2296,2680
430,1,2296,2371
431,1,2296,2372
432,1,2296,2380
433,1,2296,2721
434,1,2296,2722
435,1,2296,2771
444,1,2587,2596
445,1,2587,2737
446,1,2587,2738
447,1,2587,2739
448,1,2299,2587
450,1,2591,2794
451,1,2591,2850
453,1,249,2555
455,1,2592,2684
456,1,2592,2796
457,1,2592,2797
459,1,2592,2837
461,1,2300,2709
462,1,2300,2442
464,1,2301,2575
465,1,2301,2583
467,1,2301,2607
468,1,2301,2309
469,1,2301,2526
470,1,2301,2527
471,1,2301,2528
472,1,2301,2529
475,1,2301,2658
476,1,2301,2342
477,1,2301,2351
479,1,2301,2353
480,1,2301,2675
482,1,2301,2721
483,1,2301,2722
484,1,2301,2732
485,1,2301,2762
486,1,2301,2763
487,1,2301,2764
488,1,2301,2765
489,1,2301,2766
490,1,2301,2768
491,1,2301,2769
492,1,2301,2542
493,1,2301,2875
496,1,2593,2607
498,1,2593,2625
505,1,2593,2658
510,1,2593,2675
512,1,2593,2721
513,1,2593,2722
514,1,2593,2732
515,1,2593,2762
516,1,2593,2763
517,1,2593,2764
518,1,2593,2765
519,1,2593,2766
520,1,2593,2768
521,1,2593,2769
523,1,2593,2875
525,1,2302,2575
526,1,2302,2594
527,1,2302,2629
530,1,2302,2658
531,1,2302,2342
532,1,2302,2535
533,1,2302,2724
535,1,2302,2732
536,1,2302,2769
537,1,2302,2542
541,1,2594,2607
543,1,2594,2625
550,1,2594,2658
555,1,2594,2675
557,1,2594,2721
558,1,2594,2722
559,1,2594,2732
560,1,2594,2762
561,1,2594,2763
562,1,2594,2764
563,1,2594,2765
564,1,2594,2766
565,1,2594,2768
566,1,2594,2769
568,1,2594,2875
573,1,2599,2864
574,1,2599,2877
577,1,2303,2600
578,1,2601,2826
583,1,2604,2615
584,1,2604,2673
586,1,2604,2760
588,1,2604,2837
589,1,322,2553
590,1,322,2554
591,1,322,2518
592,1,322,2565
593,1,322,2285
594,1,322,2580
595,1,322,2295
596,1,322,2296
597,1,322,2301
598,1,322,2593
599,1,322,2594
600,1,322,731
601,1,322,2344
602,1,322,2675
603,1,322,2685
604,1,322,2686
605,1,322,2687
606,1,322,2699
607,1,322,2762
608,1,322,2763
609,1,322,2764
610,1,322,2768
611,1,322,2769
629,1,2607,2675
630,1,2607,2685
631,1,2607,2686
632,1,2607,2687
633,1,2607,2699
634,1,2607,2762
635,1,2607,2763
636,1,2607,2764
