"id","person_id","religion_id","confirmed","notes"
1,2233,1,0,Multiple possibilities
3,2211,1,0,Multiple possibilities
4,2208,1,0,Multiple possibilities
5,2108,1,1,"Edward T. Wakefield (1821-1896), of Portadown, Ireland"
14,1744,1,0,"Possibly John Ross (1798-1863), of Chatteris, Cambridgeshire"
15,1725,1,1,"Joseph Phelps Robinson (1813-1848), of London and Sydney"
23,1216,1,0,"Possibly William Lloyd (1791-1867), of York; perhaps more likely William Lloyd, MD (1798-1865), farmer, doctor, & flint miller, of Birmingham"
24,1207,1,1,"Joseph Jackson Lister, FRS (1786-1869), wine merchant and microscopist, of London; entry in Oxford DNB"
28,1021,1,0,"Probably Sir Jonathan Hutchinson (1828-1913), surgeon; 20-page obit and photo in 1914 Annual Monitor; entry in Oxford DNB; but there are two other Quaker Jonathan Hutchinsons whose dates would fit"
29,979,1,1,"William Henry Holmes (1824-1908), glass merchant and paint maker, of Gateshead & Newcastle"
30,967,1,1,"Dr Thomas Hodgkin (1798-1866), physician and social reformer, of London; entry in Oxford DNB"
33,853,1,1,"Either Rev. John Hampden Gurney (1802-1862), clergyman and hymnist; or John Henry Gurney (1819-1890), banker and MP; there was also a John Howard Gurney, who d. 1867, but about whose life I otherwise know nothing"
37,776,1,1,"George Stacey Gibson (1818-1883), banker, botanist, philanthropist, of Saffron Walden; 9-page obit. in 1884 Annual Monitor; entry in Oxford DNB"
38,732,1,0,"Probably Charles Fox (1797-1878), merchant and scientific writer, of Falmouth; 16-page obit. in 1879 Annual Monitor; entry in Oxford DNB. But possibly Charles Fox (1801-1860), banker and manufacturer of Wellington, Somerset"
39,731,1,1,"William Fowler (1828-1905), financier and politician; Quaker family; entry in Oxford DNB"
40,730,1,1,"Sir Robert Nicholas Fowler, 1st baronet, (1828-1891), London banker and politician; Quaker; entry in Oxford DNB"
45,600,1,0,Multiple possibilities
48,523,1,1,"Sir David Dale, 1st baronet (1829-1906), industrialist, of Darlington; entry in Oxford DNB"
50,503,1,0,"Probably Henry Crowley (1800-1857), brewer of Alton, Hampshire"
54,448,1,1,"Jane Collier (1776-1870), of Plymouth"
55,419,1,0,"Possibly William Clay (b. 1811), London draper"
57,403,1,1,"Henry Christy (1810-1865), hat manufacturer, banker, anthropologist, of London; entry in Oxford DNB"
61,322,1,1,"Charles Buxton (1822-1871), brewer & politician; entry in Oxford DNB"
62,303,1,0,Multiple possibilities
64,249,1,1,"Alfred Brady (1803-1895), bank manager, of Stockton"
68,151,1,0,"I have a James Spencer Bell, but no dates for him; his son died in 1886, and his wife in 1891 (Annual Monitor)"
73,81,1,1,"James Backhouse (1794-1869), nurseryman of York; 8-page obit. in 1870 Annual Monitor; some material in Oxford DNB"
74,80,1,0,"Probably Edward Backhouse (1781-1860), Darlington banker"
76,27,1,1,"Stafford Allen (1806-1889), miller & manufacturing chemist, of London; 9-page obit. in 1890 Annual Monitor"
77,23,1,0,"Probably William Pease (later Aldam - changed by deed poll) (1779-1855), of Darlington"
78,2261,1,0,Possibly the Quaker Arthur Albright (1811-1900) who has an entry in the Oxford DNB
79,2262,1,0,"Could be either Rachel Albright (1818-1906), sister of John M. Albright; or their mother Rachel Albright, née Tanner (1776-1867)"
80,2263,1,0,"I have no plain William Albright who fits, though there was a William Whitlark Albright (1819-1864), of Lancaster and Sheffield - it would seem odd, though, that his middle name would have been omitted"
81,2264,1,0,"Probably William Aldam (1813-1890), MP for Leeds, son of the earlier William Pease"
82,2265,1,0,Two Quakers of this name - so need more identifying detail
83,2266,1,0,"Possibly Samuel Allen (1771-1868), brewer & miller, of Witham and Hitchin; 4-page obit. in 1870 Annual Monitor"
85,2268,1,0,"There were Quakers of this name, but the closest match died in 1853"
87,2270,1,0,"Could be Robert Arthington (1779-1864), brewer, of Leeds, founder director of the Friends Provident Institution"
88,2271,1,0,"Probably Robert Arthington (1823-1900), of Leeds, son of Robert Arthington; some text in the Oxford DNB"
90,2273,1,0,"Probably not enough identification evidence, but this could be Elizabeth (Crowley) Ashby (1828-1912), wife of Charles Ashby, brewer, of Staines"
91,2274,1,0,Multiple candidates
92,2275,1,0,Multiple candidates
93,2276,1,0,Multiple candidates
94,2277,1,0,"Probably Katherine (Capper) Backhouse 1792-1882), wife of John Backhouse, Darlington banker; 19-page obit. in 1883 Annual Monitor"
97,2280,1,0,"There were several Quakers of this name, but I can't trace anyone who fits these dates"
99,2282,1,0,"Possibly Samuel Baker (1808-1862), grocer, of Clontarf, Co. Dublin"
102,2285,1,0,"Probably Robert Barclay (1787-1853), London banker"
103,2286,1,0,"Probably Richard Barrington (c. 1797-1890), of Monkstown, Dublin; death announced in Annual Monitor"
105,2288,1,0,"Probably Edward Beck (1803-1861), maltster, wharfinger, & slate merchant, of Isleworth; but possibly his son Edward (1834-1913)"
106,2289,1,0,"Possibly Eliza Bell (b. 1808), sister to Anna Bell"
107,2290,1,0,"The closest fit is Frederick John Bell (1814-1856), of Maldon, Essex - but this can't be him if the 1857 date is definitely correct"
108,2291,1,0,"Possibly Sarah Sheppard Bell (b. 1805, Shoreditch); but her only sister known to me was married before 1857"
109,2292,1,0,Multiple candidates
110,2293,1,0,"I have a Mary Biffen (1802-1887), of Finsbury Park, but don't know whether or not this is her married name"
111,2294,1,0,"Possibly Joseph Burtt Binyon (1809-1897), but I'd expect a middle initial if so"
112,2295,1,0,"Possibly Elizabeth Lucy (Barclay) Birkbeck (1800-1874), of Norwich, wife of Henry Birkbeck (1787-1848)"
113,2296,1,0,"Probably Henry Birkbeck (1821-1895), banker, of Norfolk"
115,2298,1,0,"Multiple candidates for W. Blain, none for W. Blaine"
116,2299,1,0,"Possibly Elizabeth (Frankland) Bowly (1795-1867), of Cirencester, widow of Christopher Bowly (1773-1851), woolstapler"
117,2300,1,0,"Probably Dr Henry Brady (1805-1883), surgeon & GP, of Darlington"
118,2301,1,0,"Probably Charles Lloyd Braithwaite (1811-1893), woollen manufacturer & drysalter, of Kendal; 8-page obit. in 1894 Annual Monitor; or possibly his son, of the same name (1840-1910), woollen manufacturer, of Kendal"
119,2302,1,0,"Possibly Louisa Braithwate (1842-1911), later wife of Thomas Barkworth "
120,2303,1,0,"Two possible individuals, but I suggest the likelier is Isaac Brown (1803-1895), who was principal of the Flounders Institute from 1848-1870; 23-page obit. in 1897 Annual Monitor"
121,2304,1,0,"Two possible individuals, insufficient evidence"
