"id","person_id","society_id"
1,8,2
2,8,3
3,8,5
4,8,6
5,11,7
6,16,8
7,16,9
8,16,10
9,16,11
10,17,2
11,19,12
12,19,13
14,25,14
15,33,9
16,33,15
17,35,2
18,36,16
19,37,17
20,46,8
21,46,11
22,46,18
23,46,19
24,48,20
25,51,21
26,52,22
27,52,23
28,53,24
29,53,25
30,54,26
31,61,14
32,64,27
33,68,28
36,78,21
37,78,9
38,78,16
39,78,11
40,78,30
41,78,7
42,79,8
43,82,12
44,82,31
45,82,32
46,92,27
47,92,33
48,93,2
49,95,21
50,95,8
51,98,8
52,101,27
53,108,9
54,111,2
55,112,11
56,113,34
57,113,35
58,113,36
59,113,37
60,114,8
61,114,11
62,116,9
63,117,8
64,118,2
68,126,2
69,126,39
70,127,15
71,128,2
72,128,9
73,130,26
74,132,2
75,132,15
76,134,16
77,134,11
78,136,40
79,136,41
80,136,42
81,136,43
82,136,27
83,138,21
84,139,8
93,144,21
94,145,27
95,145,48
98,151,49
99,152,14
100,155,8
101,156,2
102,165,26
103,173,14
105,178,2
106,185,34
107,185,51
108,187,52
109,191,8
114,194,21
115,194,55
116,194,56
117,194,57
118,194,58
119,195,33
120,201,21
121,201,11
122,203,59
123,205,8
124,205,60
125,205,15
126,205,16
127,209,8
128,209,61
129,213,2
130,216,11
131,217,11
132,217,21
133,219,14
134,220,8
135,222,60
136,223,9
137,224,21
138,224,62
139,224,63
140,225,21
141,225,9
142,225,64
143,225,14
144,226,12
145,226,11
146,228,51
147,232,8
148,232,65
149,236,15
150,237,14
151,241,8
152,241,66
153,243,12
154,243,9
155,243,67
156,243,65
157,243,68
158,243,35
159,243,15
160,244,23
161,244,11
162,244,14
165,249,11
166,249,14
167,252,9
168,252,8
169,252,11
170,259,71
171,261,8
172,266,8
174,270,2
175,271,23
176,272,33
177,274,16
178,274,11
179,281,21
180,281,72
181,282,2
182,284,11
183,284,73
184,284,74
185,284,8
186,284,75
187,285,23
188,287,8
189,287,76
190,287,77
191,289,8
192,289,11
193,289,78
194,291,21
195,293,11
196,297,74
197,302,16
198,302,11
199,303,16
200,303,11
201,308,2
202,310,11
205,318,2
206,318,21
207,318,16
208,318,11
209,318,34
210,322,14
211,323,2
212,323,16
213,328,21
214,328,9
215,328,14
217,331,2
218,331,6
219,335,2
220,336,26
221,336,8
222,337,16
223,343,8
224,352,14
226,359,8
230,362,16
231,362,11
232,362,21
233,362,6
234,362,14
235,363,82
236,363,53
239,372,27
240,372,6
241,375,14
242,377,34
243,379,8
244,383,27
245,383,6
246,383,14
247,385,11
255,393,14
256,397,2
257,398,2
258,401,14
259,403,11
260,403,9
261,403,16
262,404,38
263,406,15
264,407,21
265,409,9
266,410,21
267,413,87
268,413,88
269,413,76
270,413,89
271,413,90
272,413,91
273,413,92
274,416,2
275,421,11
276,421,93
277,425,21
278,427,21
281,434,2
282,435,39
283,438,94
284,440,14
285,443,95
286,444,21
287,444,26
288,449,9
289,452,15
290,452,12
