"id","name","notes"
2,Royal College of Surgeons,
3,Pathological Society of London,
4,Harveian Society,
5,Medical Society of London,
6,Medical and Chirurgical Society of London,
7,Somersetshire Archaeological and Natural History Society,
8,Royal Geographical Society,
9,Society of Antiquaries,
10,Syro Egyptian Society,
11,Geological Society,
12,Anthropological Society of Paris,
13,Medico Psychological Association,
14,"Society for the Encouragement of Arts, Manufactures and Commerce",
15,Royal Society of Literature,
16,Linnean Society of London,
17,Society of Antiquaries of Scotland,
18,Ornithological Society,
19,Acclimatisation Society,
20,Association for the Protection of Homeopathic Students and Practitioners,
21,Royal Society,
22,Phrenological Society,
23,Chemical Society,
24,American Medical Association,
25,Georgia Historical Society,
26,Royal Asiatic Society,
27,Royal College of Physicians,
28,Surrey Archaeological Society,
29,Phrenological Association,
30,Cambridge Philosophical Society,
31,Russian Geographical Society,
32,Russian Entomological Society,
33,Royal College of Surgeons Edinburgh,
34,Zoological Society,
35,Statistical Society,
36,Royal Historical Society,
37,Royal Society of British Sculptors,
38,Marine Biological Association of the United Kingdom,
39,Royal Horticultural Society of London,
40,British Archaeological Society,
41,Historical Institute,
42,Biblical Archaeological Society,
43,Institut d'Afrique a Paris,
44,Anthropological Society of Berlin,
45,Anthropological Society of Brussels,
46,Anthropological Society of Washington,
47,Bristol and Gloucester Archaeological Society,
48,Imperial Academy of Dresden,
49,Royal Institute of British Architects,
50,Society for Psychical Research,
51,"Royal Society for the Encouragement of Arts, Manufactures and Commerce",
52,Royal Scottish Society of Painters in Water Colours,
53,Sociedad Antropologica Espanola,
54,Societe des Amis de la Nature of Moscow,
55,British Association,
56,Royal Irish Academy,
57,Society of Engineers,
58,Royal United Service Institution,
59,Anthropological Society of Moscow,
60,Royal Astronomical Society,
61,"Ethnological Society, New York",
62,Society of Antiquaries of Literature,
63,Royal Institute of the Netherlands,
64,British Archaeological Association,
65,Folklore Society,
66,Weslyan Mission Society,
67,Royal Society of Northern Antiquities Copenhagen,
68,London and Middlesex Archaeological Association,
69,London Secular Society,
70,National Secular Society,
71,Aberdeen Horticultural Society,
72,Society for the Diffusion of Useful Knowledge,
73,Midland Natural History Society,
74,Entomological Society of London,
75,Botanical Society of London,
76,Royal Society of Northern Antiquities,
77,Ex Libris Society,
78,Royal Scottish Geographical Society,
79,Societe Archaeologique du Midi de la France,
80,Prehistoric Society of East Anglia,
81,Prehistoric Society,
82,Manchester Scientific Student's Association,
83,Hull Literary and Philosophical Society,
84,New England Historic Genealogical Society,
85,Royal Scottish Society of Arts,
86,Philological Society,
87,Anthropological Institute of New York,
88,Royal Society of New South Wales,
89,German Oriental Society,
90,American Oriental Society,
91,Royal Society of Victoria,
92,Academy of Anatolia,
93,Edinburgh Gratis Sabbath School Society,
94,Royal Society for the Prevention of Cruelty to Animals,
95,Royal Academy,
96,Royal Society of Edinburgh,
97,Society of Biblical Archaeology,
98,Institute of France,
99,Belgian Academy of Sciences of France,
100,Soci̩t̩ M̩dico Psychologique,
101,American Ethnological Society,
102,Academy of Natural Sciences Philadelphia,
103,"Academy of Surgery, Madrid",
104,"Philosophical & Literary Society, Leeds",
105,Royal Agricultural Society,
106,Buffalo Society of Natural Sciences,
107,London School of Phrenology,
108,Manchester Literary and Philosophical Society,
109,Liverpool Literary and Philosophical Society of Liverpool,
110,Societe Archeologique de Namur,
111,Royal Colonial Institute,
112,National Association for the Promotion of Social Sciences,
113,Numismatic Society,
