"ID","Source","Target"
1,Arthur William A Beckett,London
1,Arthur William A Beckett,literary
3,Andrew Mercer Adam,armed services
3,Andrew Mercer Adam,country
3,Andrew Mercer Adam,medical
4,H R Adam,Africa
5,William Adam,political
6,Henry John Adams,London
7,William (1) Adams,Athenaeum Club
8,William (2) Adams,London
8,William (2) Adams,Medical Society of London
8,William (2) Adams,Medical and Chirurgical Society of London
8,William (2) Adams,Pathological Society of London
8,William (2) Adams,Royal College of Surgeons
8,William (2) Adams,medical
11,William Adlam,Somersetshire Archaeological and Natural History Society
11,William Adlam,country
12,Louis Agassiz,America
12,Louis Agassiz,academic
12,Louis Agassiz,biologist
12,Louis Agassiz,geologist
13,Anastasius Agathides,London
13,Anastasius Agathides,academic
14,Augustine Aglio,artist
15,Joseph Agnew,Scotland
15,Joseph Agnew,medical
16,William Francis Harrison Ainsworth,Geological Society
16,William Francis Harrison Ainsworth,London
16,William Francis Harrison Ainsworth,Royal Geographical Society
16,William Francis Harrison Ainsworth,Society of Antiquaries
16,William Francis Harrison Ainsworth,Syro Egyptian Society
16,William Francis Harrison Ainsworth,academic
16,William Francis Harrison Ainsworth,medical
17,William Baird Airston,Royal College of Surgeons
17,William Baird Airston,Scotland
17,William Baird Airston,medical
18,Alexander Muirhead Aitken,India
18,Alexander Muirhead Aitken,London
18,Alexander Muirhead Aitken,legal
19,Thomas Aitken,Anthropological Society of Paris
19,Thomas Aitken,Medico Psychological Association
19,Thomas Aitken,Scotland
19,Thomas Aitken,medical
22,Rutherford Alcock,Athenaeum Club
22,Rutherford Alcock,China
22,Rutherford Alcock,Japan
22,Rutherford Alcock,diplomacy
23,William Aldam,Quaker
23,William Aldam,country
23,William Aldam,political
25,Frederick W Aley,London
25,Frederick W Aley,"Society for the Encouragement of Arts, Manufactures and Commerce"
26,J  McGrigor Allan,London
26,J  McGrigor Allan,literary
27,S  Stafford Allen,Egypt
27,S  Stafford Allen,London
27,S  Stafford Allen,Quaker
27,S  Stafford Allen,civil engineer
28,William Allen,armed services
29,George Allin,London
29,George Allin,country
30,Charles Hamond Alpe,London
31,Crewe Alston,London
33,William Amhurst Tyssen Amhurst,Athenaeum Club
33,William Amhurst Tyssen Amhurst,Carlton Club
33,William Amhurst Tyssen Amhurst,Marlborough Club
33,William Amhurst Tyssen Amhurst,Royal Society of Literature
33,William Amhurst Tyssen Amhurst,Society of Antiquaries
33,William Amhurst Tyssen Amhurst,collector
33,William Amhurst Tyssen Amhurst,country
33,William Amhurst Tyssen Amhurst,political
34,George Amner,business
34,George Amner,country
35,Edward C Anderson,London
35,Edward C Anderson,Royal College of Surgeons
35,Edward C Anderson,medical
36,John Anderson,Linnean Society of London
36,John Anderson,armed services
36,John Anderson,country
36,John Anderson,medical
37,Joseph Anderson,Scotland
37,Joseph Anderson,Society of Antiquaries of Scotland
37,Joseph Anderson,archaeologist
37,Joseph Anderson,editor
