"ID","Source","Target"
5,William Adam,ESL
7,William (1) Adams,ESL
8,William (2) Adams,ESL
12,Louis Agassiz,ESL
14,Augustine Aglio,ESL
16,William Francis Harrison Ainsworth,ESL
18,Alexander Muirhead Aitken,ESL
22,Rutherford Alcock,ESL
23,William Aldam,ESL
28,William Allen,ESL
33,William Amhurst Tyssen Amhurst,ESL
38,W  P Andrew,ESL
39,x Andrews,ESL
40,Matthew John Anketell,ESL
41,Thomas Chisholm Anstey,ESL
42,x Antrim,ESL
43,William Appleyard,ESL
45,Frederick Scott Archer,ESL
51,William Armstrong,ESL
54,William Arthur,ESL
58,James Ashbury,ESL
60,William Henry Ashurst,ESL
61,Henry Ashworth,ESL
66,Charles A Atkins,ESL
67,E Atkinson,ESL
73,Alois Auer,ESL
74,Arthur Daniel Aulton,ESL
80,Edward Backhouse,ESL
81,James (1) Backhouse,ESL
82,Carl Ernst von Baer,ESL
83,John Bagehot,ESL
84,Walter ('Badgett') Bagehot,ESL
94,John Baker,ESL
95,Samuel C Baker,ESL
96,William Bailey Baker,ESL
98,George Balfour,ESL
100,John Bannister,ESL
108,John  Wheeldon Barnes,ESL
109,Robert Barnewall,ESL
118,John Stothert Bartrum,ESL
119,Adolf Bastian,ESL
123,Thomas Bateman,ESL
129,Thomas Henry Baylis,ESL
132,Lionel John Beale,ESL
133,Frank Carr Beard,ESL
136,William Beattie,ESL
138,Richard Beaumont,ESL
144,x Beechey,ESL
151,James Bell,ESL
152,John Bell (2),ESL
153,Robert Bell,ESL
154,William Abraham Bell,ESL
159,Lewis F Bellot,ESL
169,Richard Bentley,ESL
170,Bartholomew Bernasconi,ESL
177,Thomas Bigg,ESL
183,R S Birkbeck,ESL
188,W H Black,ESL
190,William Blackmore,ESL
192,J H Blackwell,ESL
195,Henry Jules Blanc,ESL
205,Henry George Bohn,ESL
206,John Peter Boileau,ESL
207,Henry James Bolding,ESL
209,William Bollaert,ESL
210,Louis Lucien Bonaparte,ESL
211,E Bonavia,ESL
212,George Bonavia,ESL
215,George Bonham,ESL
220,James Bonwick,ESL
225,Beriah Botfield,ESL
226,x Boucher de Crevecoeur de Perthes,ESL
227,x Boudin,ESL
230,x Bourien,ESL
231,Philip Bourjeaurd,ESL
232,Sydney Edward Bouverie Bouverie-Pusey,ESL
233,Frederick Bower,ESL
235,Robert Bowie,ESL
237,John Bowring,ESL
239,William Boxall,ESL
245,Charles Holt Bracebridge,ESL
246,Thomas Braddell,ESL
250,James Brady,ESL
252,William Bragge,ESL
254,Thomas Henry Brain,ESL
260,William Brent Brent,ESL
262,D J Breuneis,ESL
264,Edmund J Bridell,ESL
265,John Briggs,ESL
266,Lindsay Brine,ESL
271,Benjamin Collins Brodie,ESL
278,Henry (1) Brookes,ESL
281,x Brougham,ESL
288,John Brown,ESL
292,J  Cave Browne,ESL
296,Henry Brunskill,ESL
298,Walter Buchannan,ESL
300,James Silk Buckingham,ESL
301,W E Buckley,ESL
304,James Wentworth Buller,ESL
306,x Bunsen,ESL
313,Luke Burke,ESL
318,George Busk,ESL
327,Oliver Byrne,ESL
336,Charles Duncan Cameron,ESL
337,Archibald Campbell,ESL
339,George (1) Campbell,ESL
340,George (2) Campbell,ESL
348,Walter Campbell,ESL
