"ID","Source","Target"
7,William (1) Adams,Athenaeum Club
22,Rutherford Alcock,Athenaeum Club
33,William Amhurst Tyssen Amhurst,Athenaeum Club
33,William Amhurst Tyssen Amhurst,Marlborough Club
33,William Amhurst Tyssen Amhurst,Carlton Club
44,William Arbuthnot,Oriental Club
46,Richard Edward Arden,National Club
46,Richard Edward Arden,Junior Athenaeum Club
51,William Armstrong,Athenaeum Club
60,William Henry Ashurst,Reform Club
60,William Henry Ashurst,Arts Club
78,Charles Cardale Babington,Athenaeum Club
84,Walter ('Badgett') Bagehot,Athenaeum Club
90,James Bain,Junior Carlton Club
95,Samuel C Baker,Athenaeum Club
98,George Balfour,Athenaeum Club
113,Thomas Squire Barrett,New Athenaeum Club
117,Alfred Barton,Oriental Club
139,Hugh J C Beavan,Grafton Club
139,Hugh J C Beavan,Cannibal Club
139,Hugh J C Beavan,Junior Carlton Club
154,William Abraham Bell,New University Club
155,Edward Bellamy,Nationalist Club
155,Edward Bellamy,Cannibal Club
156,Henry Walter Bellew,Athenaeum Club
161,Thomas Bendyshe,Cannibal Club
163,Charles Bennett,Thatched House Club
165,John Bennett,Athenaeum Club
187,Andrew Black,Glasgow Art Club
194,T A Blakely,Army & Navy Club
194,T A Blakely,Royal Victoria Yacht Club
196,Sydney L Blanchard,Arundel Club
210,Louis Lucien Bonaparte,Athenaeum Club
215,George Bonham,Athenaeum Club
217,T  George Bonney,Athenaeum Club
221,Charles Booth,Athenaeum Club
225,Beriah Botfield,Athenaeum Club
232,Sydney Edward Bouverie Bouverie-Pusey,Athenaeum Club
237,John Bowring,Athenaeum Club
239,William Boxall,Athenaeum Club
243,Edward William Brabrook,Athenaeum Club
243,Edward William Brabrook,Colquehoun Club
245,Charles Holt Bracebridge,Athenaeum Club
259,James Brebner,Spalding Club
265,John Briggs,Athenaeum Club
265,John Briggs,Oriental Club
266,Lindsay Brine,Army & Navy Club
266,Lindsay Brine,Athenaeum Club
270,Bernard Edward Brodhurst,Athenaeum Club
271,Benjamin Collins Brodie,Athenaeum Club
274,P B Brodie,Woolhope Naturalists Field Club
277,James Brooke,Athenaeum Club
291,x Brown-Sequard,Sugar Club
301,W E Buckley,Athenaeum Club
304,James Wentworth Buller,Athenaeum Club
318,George Busk,Athenaeum Club
328,Benjamin Bond Cabbell,Athenaeum Club
336,Charles Duncan Cameron,Cannibal Club
339,George (1) Campbell,Athenaeum Club
362,Samuel Cartwright,Athenaeum Club
373,Richard Cavendish,Athenaeum Club
375,Edwin Chadwick,Athenaeum Club
377,John Henry Challis,Reform Club
379,Charles Harcourt Chambers,Athenaeum Club
385,Edward Charlesworth,Whittington Club
389,Frederick Chatfield,Athenaeum Club
407,x Clarendon,Athenaeum Club
410,James Clark,Athenaeum Club
417,William Aloysius Clavering,Athenaeum Club
419,William Clay,Athenaeum Club
420,John (1) Cleghorn,Union Club
443,Vicat Cole,Athenaeum Club
444,Thomas Edward Colebrooke,Athenaeum Club
452,John Frederick Collingwood,New Athenaeum Club
452,John Frederick Collingwood,Cannibal Club
452,John Frederick Collingwood,Science Club
453,S  Edwin Collingwood,Cannibal Club
457,x Colonsay,"New Club, Edinburgh"
457,x Colonsay,Athenaeum Club
459,John Conolly,Athenaeum Club
476,W Coulson,Athenaeum Club
490,Robert Crawford,Reform Club
491,Frederick A B Crawfurd,United Service Club
492,John Crawfurd,Athenaeum Club
493,Oswald John Crawfurd,Athenaeum Club
493,Oswald John Crawfurd,Garrick Club
493,Oswald John Crawfurd,Sesame Club
511,Alexander Cunningham,Athenaeum Club
513,Edward Barrett Hodges Curteis,Conservative Club
532,Frederick Whittock Darby,New Reform Club
536,Charles Darwin,Athenaeum Club
537,Erasmus (Ras) Darwin,Athenaeum Club
538,George Webbe Dasent,Athenaeum Club
554,William Boyd Dawkins,Athenaeum Club
556,Walter F Dawson,Arts Club
563,George Denman,Athenaeum Club
565,George Dennis,Athenaeum Club
570,x Devonshire,Athenaeum Club
573,John jun Dickinson,Athenaeum Club
574,John Jun Dickinson,Athenaeum Club
594,John Langdon H Down,Athenaeum Club
614,Samuel Duckworth,Athenaeum Club
615,William Duckworth,Athenaeum Club
624,David Duncan,Athenaeum Club
626,Peter Martin Duncan,Athenaeum Club
649,Francis Egerton,Athenaeum Club
661,Mountstuart Elphinstone,Athenaeum Club
664,John E Erichsen,Athenaeum Club
666,William Erle,Athenaeum Club
672,John Evans,Athenaeum Club
672,John Evans,Albemarle Burlington Club
676,William Ewart,United University Club
679,William Fairbairn,Athenaeum Club
707,Robert Fitzroy,Athenaeum Club
729,M Foster,Athenaeum Club
730,Robert Nicholas Fowler,Athenaeum Club
734,Augustus Wollaston Franks,Athenaeum Club
740,x Freme,Army & Navy Club
750,Albert Fytche,Reform Club
754,Douglas Galton,Athenaeum Club
755,Francis Galton,Athenaeum Club
755,Francis Galton,Alpine Club
758,John Gardiner,Reform Club
764,William H Garrett,Arundel Club
765,Thomas B Gascoyne,Athenaeum Club
766,John Peter Gassiot,Athenaeum Club
767,Charles Henry Gatty,Athenaeum Club
788,J  S  Stuart Glennie,Athenaeum Club
795,Augustus Goldsmid,Junior Carlton Club
795,Augustus Goldsmid,Conservative Club
805,John Gould,Athenaeum Club
822,George Bellas Greenough,Athenaeum Club
826,William Rathbone Greg,Athenaeum Club
828,Walter Gregor,New Spalding Club
830,Charles Edward Grey,Athenaeum Club
831,George Grey,Athenaeum Club
834,H G Gridley,Oriental Club
845,John Grover,Army & Navy Club
845,John Grover,Athenaeum Club
849,William Vernon Guise,Athenaeum Club
853,John Henry Gurney,Athenaeum Club
862,Henry Hallam,Athenaeum Club
865,Archibald Hamilton,Athenaeum Club
867,Rowland Hamilton,Oriental Club
899,John E Harvey,Athenaeum Club
900,Frederick Augustus Haserick,Brasenose Club
900,Frederick Augustus Haserick,Manchester Club
917,Dunbar Isidore Heath,Cannibal Club
933,John Mason Hepworth,Cannibal Club
941,James Heywood,Athenaeum Club
943,Alfred Higgins,Cannibal Club
969,Kirkman Daniel Hodgson,Athenaeum Club
974,Jennings Holgate,Arundel Club
982,Joseph Hooker,X Club
982,Joseph Hooker,Athenaeum Club
990,x Houghton,Cannibal Club
990,x Houghton,Athenaeum Club
1000,Henry Hoyle Howorth,Athenaeum Club
1000,Henry Hoyle Howorth,Carlton Club
1008,Thomas McKenny Hughes,Athenaeum Club
1014,James Hunt,Cannibal Club
1017,William Wilson Hunter,Athenaeum Club
1024,Thomas Henry Huxley,X Club
1024,Thomas Henry Huxley,Athenaeum Club
1043,Henry (the son) Jackson,Athenaeum Club
1049,Le Grand Jacob,East India United Services Club
1054,F H Janson,West Kent Cricket Club
1055,William Jardine,Athenaeum Club
1089,Algernon Joy,Athenaeum Club
1089,Algernon Joy,Junior United Service Club
