"ID","Source","Target"
1,Arthur William A Beckett,London
3,Andrew Mercer Adam,country
4,H R Adam,Africa
6,Henry John Adams,London
8,William (2) Adams,London
11,William Adlam,country
12,Louis Agassiz,America
13,Anastasius Agathides,London
15,Joseph Agnew,Scotland
16,William Francis Harrison Ainsworth,London
17,William Baird Airston,Scotland
18,Alexander Muirhead Aitken,India
18,Alexander Muirhead Aitken,London
19,Thomas Aitken,Scotland
22,Rutherford Alcock,China
22,Rutherford Alcock,Japan
23,William Aldam,country
25,Frederick W Aley,London
26,J  McGrigor Allan,London
27,S  Stafford Allen,London
27,S  Stafford Allen,Egypt
29,George Allin,country
29,George Allin,London
30,Charles Hamond Alpe,London
31,Crewe Alston,London
33,William Amhurst Tyssen Amhurst,country
34,George Amner,country
35,Edward C Anderson,London
36,John Anderson,country
37,Joseph Anderson,Scotland
40,Matthew John Anketell,London
41,Thomas Chisholm Anstey,Hong Kong
41,Thomas Chisholm Anstey,London
42,x Antrim,Ireland
42,x Antrim,country
43,William Appleyard,country
44,William Arbuthnot,London
45,Frederick Scott Archer,country
46,Richard Edward Arden,country
47,Alexander Aria,London
48,William Armitage,country
51,William Armstrong,London
51,William Armstrong,country
52,Edward Arnold,country
53,Richard Arnold,America
54,William Arthur,Ireland
54,William Arthur,London
55,Rodolph Arundell,London
56,Isidore Ascher,London
57,Charles Frederick Ash,London
58,James Ashbury,London
59,John Ashbury,London
60,William Henry Ashurst,London
61,Henry Ashworth,country
62,William Aspull,London
64,John Atcherley,country
65,Charles Atkins,London
66,Charles A Atkins,country
67,E Atkinson,country
68,George Atkinson,country
72,Alfred Aubert,London
73,Alois Auer,Austria
74,Arthur Daniel Aulton,country
78,Charles Cardale Babington,country
79,William Babington,Africa
79,William Babington,London
80,Edward Backhouse,country
81,James (1) Backhouse,country
82,Carl Ernst von Baer,Russia
84,Walter ('Badgett') Bagehot,London
85,Charles Henry Bagnall,country
86,Charles Stuart Bailey,country
86,Charles Stuart Bailey,London
87,John Bailey,Ceylon
88,John Bailey (2),country
90,James Bain,Scotland
91,Thomas Baines,London
92,Benson Baker,London
93,J P Baker,London
94,John Baker,London
95,Samuel C Baker,Ceylon
95,Samuel C Baker,Africa
95,Samuel C Baker,country
95,Samuel C Baker,London
96,William Bailey Baker,New Zealand
98,George Balfour,London
100,John Bannister,country
101,Henry Barber,country
102,Robert Baring,London
105,Henry Walter Barlow,London
105,Henry Walter Barlow,country
106,Christopher J Barnard,Africa
107,Henry Thorowgood Barnes,London
108,John  Wheeldon Barnes,country
111,Joseph Henry Barr,country
112,William Roby Barr,country
113,Thomas Squire Barrett,country
114,George William Barrington,London
115,C M Barter,country
116,William Edward Bartlett,London
117,Alfred Barton,London
118,John Stothert Bartrum,country
119,Adolf Bastian,Germany
123,Thomas Bateman,country
124,Ernest Bates,country
126,William Battye,country
127,Edwin Henry Baverstock,London
128,James Bainbridge Baxter,London
129,Thomas Henry Baylis,London
130,Samuel Beal,country
131,John S Beale,London
132,Lionel John Beale,London
133,Frank Carr Beard,London
134,Amos Beardsley,country
136,William Beattie,London
138,Richard Beaumont,country
139,Hugh J C Beavan,London
140,R C Beavan,India
142,Alfred Becquet,Belgium
144,x Beechey,London
145,Hermann Beigel,London
145,Hermann Beigel,Austria
150,C W  Bowdler Bell,India
151,James Bell,London
152,John Bell (2),London
154,William Abraham Bell,London
155,Edward Bellamy,London
156,Henry Walter Bellew,India
157,William Painter Belliss,London
160,Adolph Bendir,London
161,Thomas Bendyshe,London
161,Thomas Bendyshe,country
163,Charles Bennett,London
165,John Bennett,London
166,Thomas John Wesley Bennett,London
167,W F G Benson,country
168,William Ralph Benson,India
170,Bartholomew Bernasconi,country
170,Bartholomew Bernasconi,London
171,George Bertram,Scotland
172,Camille Bertrand,France
173,x Best,country
176,John Henry Biddles,London
178,John Bilderbeck,India
180,Theodor Bilharz,Egypt
181,Henry Corles Bingham,country
185,James Bischoff,London
187,Andrew Black,Scotland
190,William Blackmore,country
190,William Blackmore,London
191,Alan Cornwall Blackstone,London
194,T A Blakely,London
195,Henry Jules Blanc,France
195,Henry Jules Blanc,London
196,Sydney L Blanchard,London
197,Albert Taylor Bledsoe,London
197,Albert Taylor Bledsoe,America
198,David Blellock,London
199,John Hillier Blount,country
199,John Hillier Blount,India
200,Frederick Edmund Blyth,London
201,Henry S Boase,Scotland
203,Anatoly Petrovich Bogdanoff,Russia
204,Edward B Bogg,Canada
205,Henry George Bohn,London
206,John Peter Boileau,London
207,Henry James Bolding,Australia
208,Charles W Bollaert,Argentina
209,William Bollaert,London
210,Louis Lucien Bonaparte,France
210,Louis Lucien Bonaparte,London
211,E Bonavia,London
212,George Bonavia,London
213,Charles Radcliffe Bond,London
214,Walter M Bond,Ireland
215,George Bonham,London
216,W C Bonnerjee,London
217,T  George Bonney,country
218,Evert Julius Bonsdorff,Finland
219,James Bonsor,London
220,James Bonwick,London
220,James Bonwick,Australia
221,Charles Booth,London
221,Charles Booth,country
223,Cunningham Borthwick,London
224,Joseph Bosworth,country
225,Beriah Botfield,London
226,x Boucher de Crevecoeur de Perthes,France
227,x Boudin,France
228,George Boulton,London
229,Brasseur de Bourbourg,France
231,Philip Bourjeaurd,London
232,Sydney Edward Bouverie Bouverie-Pusey,London
232,Sydney Edward Bouverie Bouverie-Pusey,country
236,Thomas William Bowman,country
237,John Bowring,country
238,William Henry Wentworth Bowyer,London
241,William Binnington Boyce,London
242,Jacob Boys,country
243,Edward William Brabrook,London
244,Frederick Braby,London
245,Charles Holt Bracebridge,London
