"ID","Source","Target"
1,Arthur William A Beckett,literary
3,Andrew Mercer Adam,medical
3,Andrew Mercer Adam,armed services
5,William Adam,political
8,William (2) Adams,medical
12,Louis Agassiz,academic
12,Louis Agassiz,biologist
12,Louis Agassiz,geologist
13,Anastasius Agathides,academic
14,Augustine Aglio,artist
15,Joseph Agnew,medical
16,William Francis Harrison Ainsworth,medical
16,William Francis Harrison Ainsworth,academic
17,William Baird Airston,medical
18,Alexander Muirhead Aitken,legal
19,Thomas Aitken,medical
22,Rutherford Alcock,diplomacy
23,William Aldam,political
26,J  McGrigor Allan,literary
27,S  Stafford Allen,civil engineer
28,William Allen,armed services
33,William Amhurst Tyssen Amhurst,political
33,William Amhurst Tyssen Amhurst,collector
34,George Amner,business
35,Edward C Anderson,medical
36,John Anderson,medical
36,John Anderson,armed services
37,Joseph Anderson,educator
37,Joseph Anderson,archaeologist
37,Joseph Anderson,museum work
37,Joseph Anderson,editor
41,Thomas Chisholm Anstey,legal
41,Thomas Chisholm Anstey,political
42,x Antrim,aristocracy
43,William Appleyard,church
45,Frederick Scott Archer,inventor
45,Frederick Scott Archer,photographer
46,Richard Edward Arden,legal
48,William Armitage,business
51,William Armstrong,business
51,William Armstrong,aristocracy
53,Richard Arnold,medical
54,William Arthur,church
54,William Arthur,literary
56,Isidore Ascher,literary
56,Isidore Ascher,poet
57,Charles Frederick Ash,business
58,James Ashbury,political
60,William Henry Ashurst,legal
61,Henry Ashworth,business
62,William Aspull,music
64,John Atcherley,medical
73,Alois Auer,inventor
78,Charles Cardale Babington,academic
78,Charles Cardale Babington,botanist
78,Charles Cardale Babington,archaeologist
80,Edward Backhouse,church
80,Edward Backhouse,business
81,James (1) Backhouse,church
81,James (1) Backhouse,academic
82,Carl Ernst von Baer,academic
82,Carl Ernst von Baer,explorer
84,Walter ('Badgett') Bagehot,business
84,Walter ('Badgett') Bagehot,literary
87,John Bailey,administrative
91,Thomas Baines,explorer
91,Thomas Baines,artist
92,Benson Baker,medical
93,J P Baker,medical
94,John Baker,political
95,Samuel C Baker,explorer
95,Samuel C Baker,administrative
98,George Balfour,armed services
98,George Balfour,political
100,John Bannister,church
101,Henry Barber,medical
102,Robert Baring,armed services
106,Christopher J Barnard,armed services
107,Henry Thorowgood Barnes,business
108,John  Wheeldon Barnes,banker
109,Robert Barnewall,armed services
111,Joseph Henry Barr,medical
112,William Roby Barr,business
114,George William Barrington,aristocracy
114,George William Barrington,political
114,George William Barrington,armed services
115,C M Barter,medical
117,Alfred Barton,medical
118,John Stothert Bartrum,medical
119,Adolf Bastian,academic
119,Adolf Bastian,museum work
123,Thomas Bateman,archaeologist
123,Thomas Bateman,antiquarian
124,Ernest Bates,architect
124,Ernest Bates,civil engineer
126,William Battye,medical
127,Edwin Henry Baverstock,business
130,Samuel Beal,church
130,Samuel Beal,armed services
132,Lionel John Beale,medical
133,Frank Carr Beard,medical
136,William Beattie,medical
140,R C Beavan,armed services
144,x Beechey,armed services
145,Hermann Beigel,medical
150,C W  Bowdler Bell,armed services
151,James Bell,political
152,John Bell (2),artist
154,William Abraham Bell,medical
154,William Abraham Bell,business
154,William Abraham Bell,photographer
155,Edward Bellamy,literary
156,Henry Walter Bellew,armed services
156,Henry Walter Bellew,medical
157,William Painter Belliss,business
160,Adolph Bendir,business
161,Thomas Bendyshe,academic
165,John Bennett,business
167,W F G Benson,chemist
168,William Ralph Benson,legal
169,Richard Bentley,business
171,George Bertram,business
172,Camille Bertrand,medical
173,x Best,armed services
176,John Henry Biddles,legal
178,John Bilderbeck,medical
180,Theodor Bilharz,medical
187,Andrew Black,artist
190,William Blackmore,legal
190,William Blackmore,museum work
194,T A Blakely,armed services
195,Henry Jules Blanc,medical
197,Albert Taylor Bledsoe,legal
198,David Blellock,legal
199,John Hillier Blount,medical
201,Henry S Boase,medical
203,Anatoly Petrovich Bogdanoff,academic
204,Edward B Bogg,armed services
204,Edward B Bogg,medical
205,Henry George Bohn,publisher
206,John Peter Boileau,aristocracy
209,William Bollaert,literary
209,William Bollaert,chemist
209,William Bollaert,geographer
209,William Bollaert,ethnologist
210,Louis Lucien Bonaparte,aristocracy
210,Louis Lucien Bonaparte,academic
210,Louis Lucien Bonaparte,political
211,E Bonavia,medical
211,E Bonavia,museum work
212,George Bonavia,artist
213,Charles Radcliffe Bond,medical
215,George Bonham,aristocracy
215,George Bonham,administrative
216,W C Bonnerjee,legal
217,T  George Bonney,church
218,Evert Julius Bonsdorff,anatomist
218,Evert Julius Bonsdorff,zoologist
218,Evert Julius Bonsdorff,medical
219,James Bonsor,business
220,James Bonwick,educator
220,James Bonwick,literary
223,Cunningham Borthwick,aristocracy
223,Cunningham Borthwick,political
224,Joseph Bosworth,church
224,Joseph Bosworth,academic
225,Beriah Botfield,political
226,x Boucher de Crevecoeur de Perthes,academic
227,x Boudin,medical
229,Brasseur de Bourbourg,literary
229,Brasseur de Bourbourg,ethnographer
229,Brasseur de Bourbourg,historian
229,Brasseur de Bourbourg,archaeologist
230,x Bourien,church
231,Philip Bourjeaurd,medical
231,Philip Bourjeaurd,inventor
232,Sydney Edward Bouverie Bouverie-Pusey,literary
236,Thomas William Bowman,academic
237,John Bowring,administrative
237,John Bowring,political
238,William Henry Wentworth Bowyer,church
239,William Boxall,artist
239,William Boxall,museum work
241,William Binnington Boyce,church
242,Jacob Boys,legal
243,Edward William Brabrook,legal
243,Edward William Brabrook,civil service
244,Frederick Braby,ironmaker
245,Charles Holt Bracebridge,literary
246,Thomas Braddell,legal
246,Thomas Braddell,administrative
249,Antonio Brady,academic
249,Antonio Brady,armed services
251,P A Brady,medical
252,William Bragge,civil engineer
252,William Bragge,museum work
252,William Bragge,business
254,Thomas Henry Brain,church
255,Charles Brainsford,medical
257,Frank William Breach,business
258,A C Brebner,civil service
259,James Brebner,legal
265,John Briggs,armed services
265,John Briggs,literary
266,Lindsay Brine,armed services
267,John Brinton,business
267,John Brinton,political
270,Bernard Edward Brodhurst,medical
271,Benjamin Collins Brodie,aristocracy
271,Benjamin Collins Brodie,medical
272,David Brodie,medical
274,P B Brodie,church
275,Frederick Brome,armed services
277,James Brooke,Ruler
278,Henry (1) Brookes,political
281,x Brougham,aristocracy
281,x Brougham,political
282,Charles Cornish Brown,medical
284,Edwin Brown,business
286,George W  (1) Brown,business
289,John Allen Brown,goldsmith
290,John Harcourt Brown,armed services
292,J  Cave Browne,church
293,Thomas Henry Browne,church
