"id","Source","Target"
1,William Aldam,x Fox
2,William Jun Aldam,x Fox
3,Frederick Alexander,R D Alexander
4,G W Alexander,R D Alexander
5,Henry Alexander,R D Alexander
9,R D Alexander,John M Candler
10,Thomas Allis,James Jun Backhouse
11,Thomas Allis,Francis Brown
12,Thomas Allis,Septimus Warner
13,R Arthington,J Gurney Barclay
14,R Jun Arthington,J Gurney Barclay
15,R Jun Arthington,Charles L Braithwaite
16,R Jun Arthington,J Cudworth
17,R Jun Arthington,Gurney Pease
18,R Jun Arthington,Susan Pease
19,R Jun Arthington,F J Walker
20,R Jun Arthington,Isaac Wilson
21,R Jun Arthington,John E Wilson
23,Edward Ash,Edward Jun Backhouse
24,Edward Ash,Paul Bevan
25,Edward Ash,Thomas Pease
28,C Ashby,Robert Horne
29,C Ashby,Edward C May
30,C Ashby,Francis May
31,C Ashby,W Dillwyn Sims
32,C Ashby,Francis Tuckett
33,C Ashby,P Debell Tuckett
37,Alfred Backhouse,Edward North Buxton
39,Alfred Backhouse,Anna Gurney
42,Alfred Backhouse,John Gurney
43,Alfred Backhouse,Samuel Gurney
47,Alfred Backhouse,Andrew Johnston
48,Alfred Backhouse,Andrew & Jun Johnston
51,Catherine Backhouse,R C Barrow
52,Catherine Backhouse,James Cadbury
53,Catherine Backhouse,Thomas Pease
54,Catherine Backhouse,Alfred Waterhouse
57,Edmund Backhouse,James Jun Backhouse
59,Edmund Backhouse,Edward North Buxton
61,Edmund Backhouse,Joseph Crosfield
62,Edmund Backhouse,Francis E Fox
65,Edmund Backhouse,Anna Gurney
66,Edmund Backhouse,Henry E Gurney
69,Edmund Backhouse,John Gurney
70,Edmund Backhouse,Samuel Gurney
72,Edmund Backhouse,Andrew Johnston
73,Edmund Backhouse,Andrew & Jun Johnston
74,Edmund Backhouse,Henry Fell Pease
75,Edmund Backhouse,John Pease
76,Edmund Backhouse,John B Pease
77,Edmund Backhouse,Thomas Pease
80,Edmund Backhouse,J S Robson
83,Edward Backhouse,William Jun Aldam
84,Edward Backhouse,James Jun Backhouse
85,Edward Backhouse,Antonio Brady
86,Edward Backhouse,G S Brady
87,Edward Backhouse,Henry Brady
88,Edward Backhouse,John Ford
89,Edward Backhouse,William Fowler
90,Edward Backhouse,Francis E Fox
91,Edward Backhouse,Francis Gibson
92,Edward Backhouse,Samuel King
93,Edward Backhouse,Arthur Pease
94,Edward Backhouse,Edward Pease
95,Edward Backhouse,Gurney Pease
96,Edward Backhouse,Henry Fell Pease
97,Edward Backhouse,John Pease
98,Edward Backhouse,John B Pease
99,Edward Backhouse,Joseph Pease
100,Edward Backhouse,Joseph Whitwell Pease
101,Edward Backhouse,Susan Pease
102,Edward Backhouse,Thomas Pease
103,Edward Backhouse,Edward Priestman (2)
104,Edward Backhouse,Isaac Robson
105,Edward Backhouse,J S Robson
106,Edward Backhouse,Samuel Rosling
107,Edward Backhouse,John Rowntree
108,Edward Backhouse,Edward Smith
109,Edward Backhouse,Richard Smith
110,Edward Backhouse,Charles Wilson
111,Edward Backhouse,Joshua Wilson
116,Edward Jun Backhouse,James Jun Backhouse
117,Edward Jun Backhouse,Christopher Bowley
119,Edward Jun Backhouse,Francis E Fox
121,Edward Jun Backhouse,Arthur Pease
122,Edward Jun Backhouse,Edward Pease
123,Edward Jun Backhouse,Gurney Pease
124,Edward Jun Backhouse,Henry Fell Pease
125,Edward Jun Backhouse,John Pease
126,Edward Jun Backhouse,John B Pease
127,Edward Jun Backhouse,Joseph Pease
