"ID","Source","Target"
8,William (2) Adams,Royal College of Surgeons
8,William (2) Adams,Pathological Society of London
8,William (2) Adams,Medical Society of London
8,William (2) Adams,Medical and Chirurgical Society of London
11,William Adlam,Somersetshire Archaeological and Natural History Society
16,William Francis Harrison Ainsworth,Royal Geographical Society
16,William Francis Harrison Ainsworth,Society of Antiquaries
16,William Francis Harrison Ainsworth,Syro Egyptian Society
16,William Francis Harrison Ainsworth,Geological Society
17,William Baird Airston,Royal College of Surgeons
19,Thomas Aitken,Anthropological Society of Paris
19,Thomas Aitken,Medico Psychological Association
25,Frederick W Aley,"Society for the Encouragement of Arts, Manufactures and Commerce"
33,William Amhurst Tyssen Amhurst,Society of Antiquaries
33,William Amhurst Tyssen Amhurst,Royal Society of Literature
35,Edward C Anderson,Royal College of Surgeons
36,John Anderson,Linnean Society of London
37,Joseph Anderson,Society of Antiquaries of Scotland
46,Richard Edward Arden,Royal Geographical Society
46,Richard Edward Arden,Geological Society
46,Richard Edward Arden,Ornithological Society
46,Richard Edward Arden,Acclimatisation Society
48,William Armitage,Association for the Protection of Homeopathic Students and Practitioners
51,William Armstrong,Royal Society
52,Edward Arnold,Phrenological Society
52,Edward Arnold,Chemical Society
53,Richard Arnold,American Medical Association
53,Richard Arnold,Georgia Historical Society
54,William Arthur,Royal Asiatic Society
61,Henry Ashworth,"Society for the Encouragement of Arts, Manufactures and Commerce"
64,John Atcherley,Royal College of Physicians
68,George Atkinson,Surrey Archaeological Society
78,Charles Cardale Babington,Royal Society
78,Charles Cardale Babington,Society of Antiquaries
78,Charles Cardale Babington,Linnean Society of London
78,Charles Cardale Babington,Geological Society
78,Charles Cardale Babington,Cambridge Philosophical Society
78,Charles Cardale Babington,Somersetshire Archaeological and Natural History Society
79,William Babington,Royal Geographical Society
82,Carl Ernst von Baer,Anthropological Society of Paris
82,Carl Ernst von Baer,Russian Geographical Society
82,Carl Ernst von Baer,Russian Entomological Society
92,Benson Baker,Royal College of Physicians
92,Benson Baker,Royal College of Surgeons Edinburgh
93,J P Baker,Royal College of Surgeons
95,Samuel C Baker,Royal Society
95,Samuel C Baker,Royal Geographical Society
98,George Balfour,Royal Geographical Society
101,Henry Barber,Royal College of Physicians
108,John  Wheeldon Barnes,Society of Antiquaries
111,Joseph Henry Barr,Royal College of Surgeons
112,William Roby Barr,Geological Society
113,Thomas Squire Barrett,Zoological Society
113,Thomas Squire Barrett,Statistical Society
113,Thomas Squire Barrett,Royal Historical Society
113,Thomas Squire Barrett,Royal Society of British Sculptors
114,George William Barrington,Royal Geographical Society
114,George William Barrington,Geological Society
116,William Edward Bartlett,Society of Antiquaries
117,Alfred Barton,Royal Geographical Society
118,John Stothert Bartrum,Royal College of Surgeons
126,William Battye,Royal College of Surgeons
126,William Battye,Royal Horticultural Society of London
127,Edwin Henry Baverstock,Royal Society of Literature
128,James Bainbridge Baxter,Royal College of Surgeons
128,James Bainbridge Baxter,Society of Antiquaries
130,Samuel Beal,Royal Asiatic Society
132,Lionel John Beale,Royal College of Surgeons
132,Lionel John Beale,Royal Society of Literature
134,Amos Beardsley,Linnean Society of London
134,Amos Beardsley,Geological Society
136,William Beattie,British Archaeological Society
136,William Beattie,Historical Institute
136,William Beattie,Biblical Archaeological Society
136,William Beattie,Institut d'Afrique a Paris
136,William Beattie,Royal College of Physicians
138,Richard Beaumont,Royal Society
139,Hugh J C Beavan,Royal Geographical Society
144,x Beechey,Royal Society
145,Hermann Beigel,Royal College of Physicians
145,Hermann Beigel,Imperial Academy of Dresden
151,James Bell,Royal Institute of British Architects
152,John Bell (2),"Society for the Encouragement of Arts, Manufactures and Commerce"
155,Edward Bellamy,Royal Geographical Society
156,Henry Walter Bellew,Royal College of Surgeons
165,John Bennett,Royal Asiatic Society
173,x Best,"Society for the Encouragement of Arts, Manufactures and Commerce"
178,John Bilderbeck,Royal College of Surgeons
185,James Bischoff,Zoological Society
185,James Bischoff,"Royal Society for the Encouragement of Arts, Manufactures and Commerce"
187,Andrew Black,Royal Scottish Society of Painters in Water Colours
191,Alan Cornwall Blackstone,Royal Geographical Society
194,T A Blakely,Royal Society
194,T A Blakely,British Association
194,T A Blakely,Royal Irish Academy
194,T A Blakely,Society of Engineers
194,T A Blakely,Royal United Service Institution
195,Henry Jules Blanc,Royal College of Surgeons Edinburgh
201,Henry S Boase,Royal Society
201,Henry S Boase,Geological Society
203,Anatoly Petrovich Bogdanoff,Anthropological Society of Moscow
205,Henry George Bohn,Royal Geographical Society
205,Henry George Bohn,Royal Astronomical Society
205,Henry George Bohn,Royal Society of Literature
205,Henry George Bohn,Linnean Society of London
209,William Bollaert,Royal Geographical Society
209,William Bollaert,"Ethnological Society, New York"
213,Charles Radcliffe Bond,Royal College of Surgeons
216,W C Bonnerjee,Geological Society
217,T  George Bonney,Geological Society
217,T  George Bonney,Royal Society
219,James Bonsor,"Society for the Encouragement of Arts, Manufactures and Commerce"
220,James Bonwick,Royal Geographical Society
222,W W Boreham,Royal Astronomical Society
223,Cunningham Borthwick,Society of Antiquaries
224,Joseph Bosworth,Royal Society
224,Joseph Bosworth,Society of Antiquaries of Literature
224,Joseph Bosworth,Royal Institute of the Netherlands
225,Beriah Botfield,Royal Society
225,Beriah Botfield,Society of Antiquaries
225,Beriah Botfield,British Archaeological Association
225,Beriah Botfield,"Society for the Encouragement of Arts, Manufactures and Commerce"
226,x Boucher de Crevecoeur de Perthes,Anthropological Society of Paris
